event time,asset,transaction time,ask,ask size,bid,bid size
1747689816301,BTCUSDT,1747689816305,105277.80,14.635,1000.00,64.028
1747689816291,MOODENGUSDT,1747689816314,0.2467700,4312,0.2382100,0
1747689816308,BTCUSDC,1747689816321,105408.4,0.478,105284.5,0.000
1747689816327,XRPUSDT,1747689816337,2.3754,13547.5,2.3598,109434.3
1747689816348,1000PEPEUSDT,1747689816352,0.0132191,889225,0.0128950,0
1747689816360,ETHUSDT,1747689816360,2515.81,154.094,200.00,26.897
1747689816324,ETHUSDC,1747689816371,2516.60,3.631,2479.46,0.059
1747689816367,SOLUSDT,1747689816383,165.7000,500.88,160.3500,29.89
1747689816397,DOGEUSDT,1747689816398,0.223650,41680,0.178920,40
1747689816406,BTCUSDT,1747689816407,105277.80,14.566,5000.00,0.736
1747689816411,MOODENGUSDT,1747689816417,0.2467700,4312,,
1747689816410,BTCUSDC,1747689816424,105320.6,0.000,105260.2,0.000
1747689816437,XRPUSDT,1747689816440,2.3750,0.0,2.3352,18511.2
1747689816450,1000PEPEUSDT,1747689816455,0.0132191,1007217,0.0125580,393947
1747689816459,ETHUSDT,1747689816461,2516.46,0.020,200.00,26.897
1747689816440,SOLUSDT,1747689816485,165.7100,438.44,165.4200,838.39
1747689816478,ETHUSDC,1747689816485,2516.59,47.401,2479.34,56.387
1747689816493,DOGEUSDT,1747689816500,0.223650,41642,0.178920,0
1747689816507,BTCUSDT,1747689816508,105277.80,14.657,1000.00,64.028
1747689816501,MOODENGUSDT,1747689816518,0.2465000,3426,0.2458400,6191
1747689816549,XRPUSDT,1747689816552,2.3751,0.0,2.3598,49849.3
1747689816517,BTCUSDC,1747689816556,,,101283.9,0.000
1747689816556,1000PEPEUSDT,1747689816558,0.0132191,1007765,0.0131602,22632
1747689816561,ETHUSDT,1747689816562,2515.81,154.015,2012.82,0.009
1747689816586,SOLUSDT,1747689816588,165.7000,500.60,160.6400,21.52
1747689816537,ETHUSDC,1747689816590,2520.00,6.041,2514.87,5.013
1747689816601,DOGEUSDT,1747689816602,0.223650,62909,0.201280,186
1747689816611,BTCUSDT,1747689816611,105277.90,0.014,1000.00,64.028
1747689816608,MOODENGUSDT,1747689816622,0.2466500,3369,0.2345500,4336
1747689816618,XRPUSDT,1747689816655,2.3752,14840.9,1.9001,4423.5
1747689816660,1000PEPEUSDT,1747689816661,0.0132228,829961,0.0129969,369316
1747689816662,ETHUSDT,1747689816664,2515.81,153.998,200.00,26.897
1747689816652,BTCUSDC,1747689816667,105342.9,0.171,101283.9,0.929
1747689816689,DOGEUSDT,1747689816704,0.224290,90284,0.223300,83263
1747689816712,BTCUSDT,1747689816713,105277.80,14.589,5000.00,0.736
1747689816713,SOLUSDT,1747689816713,165.7000,500.60,132.5600,1.41
1747689816694,ETHUSDC,1747689816715,2519.24,0.000,2013.27,0.013
